Description,total_revenue,revenue_pct,cum_revenue_pct,total_transactions,days_since_last_sale,is_churned,segment,enhanced_segment
cream heart card holder,49300.94,0.24077120978804228,16.599470682802288,1299,0.0,0.0,Healthy,Healthy
heart of wicker small,48935.11,0.23898460426537352,16.83845528706766,2151,0.0,0.0,Healthy,Healthy
edwardian parasol black,48723.770000000004,0.23795248221097448,17.076407769278635,944,0.0,0.0,Healthy,Healthy
edwardian parasol black,48723.770000000004,0.23795248221097448,17.076407769278635,944,0.0,0.0,Healthy,Healthy
red retrospot cake stand,48564.29,0.2371736290585397,17.313581398337174,1187,,,Healthy,Weak
red toadstool led night light,48315.84,0.23596027273973852,17.549541671076913,1537,0.0,0.0,Healthy,Healthy
natural slate heart chalkboard,47288.23,0.23094172942412852,17.78048340050104,2046,0.0,0.0,Healthy,Healthy
strawberry ceramic trinket box,47169.35,0.23036115466389873,18.01084455516494,2310,0.0,0.0,Healthy,Healthy
wooden frame antique white,46967.090000000004,0.22937337664401253,18.240217931808953,2059,0.0,0.0,Healthy,Healthy
wooden frame antique white,46967.090000000004,0.22937337664401253,18.240217931808953,2059,1.0,0.0,Healthy,Healthy
home building block word,46516.99,0.22717522136491236,18.467393153173866,2066,0.0,0.0,Healthy,Healthy
please one person metal sign,46249.07000000001,0.22586677932452917,18.693259932498396,1632,,,Healthy,Weak
baking set 9 piece retrospot,45882.01,0.2240741668456434,18.91733409934404,1914,0.0,0.0,Healthy,Healthy
lunch bag  black skull.,45655.27,0.22296683574592516,19.140300935089964,2351,0.0,0.0,Healthy,Healthy
vintage union jack memoboard,45402.18,0.22173081903944342,19.362031754129408,530,0.0,0.0,Healthy,Healthy
round snack boxes set of4 woodland,44063.04,0.21519085534147825,19.577222609470887,1388,,,Healthy,Weak
set/4 white retro storage cubes,43844.96,0.21412581712049145,19.79134842659138,328,1.0,0.0,Healthy,Healthy
red woolly hottie white heart.,42994.24,0.2099711522481607,20.001319578839542,1145,0.0,0.0,Healthy,Healthy
small popcorn holder,42699.89,0.2085336339046746,20.209853212744218,1407,,,Healthy,Weak
red  harmonica in box,42664.54,0.20836099495973748,20.418214207703954,1025,1.0,0.0,Healthy,Healthy
gin + tonic diet metal sign,42613.98,0.20811407487328717,20.62632828257724,1609,0.0,0.0,Healthy,Healthy
spotty bunting,42513.48,0.2076232625970162,20.83395154517426,1140,0.0,0.0,Healthy,Healthy
lunch bag cars blue,42270.3,0.2064356433995677,21.040387188573828,2067,0.0,0.0,Healthy,Healthy
doormat union flag,42239.5,0.20628522530892943,21.246672413882756,991,,,Healthy,Weak
wooden picture frame white finish,41837.6,0.20432246457426972,21.450994878457024,2006,0.0,0.0,Healthy,Healthy
charlotte bag suki design,41580.97,0.20306915955477303,21.654064038011796,1403,,,Healthy,Weak
colour glass. star t-light holder,41099.79,0.20071921874784704,21.854783256759642,757,0.0,0.0,Healthy,Healthy
lunch bag red retrospot,41043.02,0.20044197085805696,22.0552252276177,1837,,,Healthy,Weak
jumbo bag owls,40667.05,0.1986058445743794,22.25383107219208,1314,0.0,0.0,Healthy,Healthy
picnic basket wicker 60 pieces,39619.5,0.19348992019619385,22.447320992388274,2,,,At Risk,At Risk
cream sweetheart mini chest,38599.979999999996,0.18851088604789756,22.63583187843617,929,0.0,0.0,Healthy,Healthy
lunch bag woodland,38506.74,0.18805552946441992,22.823887407900592,1926,0.0,0.0,Healthy,Healthy
doormat hearts,38428.12,0.18767157263695305,23.011558980537547,1033,0.0,0.0,Healthy,Healthy
jam making set with jars,38380.11,0.18743710599631852,23.198996086533867,1159,0.0,0.0,Healthy,Healthy
cook with wine metal sign,38138.86,0.1862589123480561,23.385254998881923,1425,0.0,0.0,Healthy,Healthy
doormat keep calm and come in,38133.64,0.18623341941191549,23.57148841829384,728,0.0,0.0,Healthy,Healthy
set of 3 cake tins pantry design,38108.89,0.1861125477319383,23.757600966025777,1385,0.0,0.0,Healthy,Healthy
spaceboy lunch box,37955.5,0.18536343633833427,23.94296440236411,1368,0.0,0.0,Healthy,Healthy
roses regency teacup and saucer,37682.8,0.18403165019167667,24.12699605255579,1410,0.0,0.0,Healthy,Healthy
jumbo bag woodland animals,37499.37,0.18313583232265793,24.310131884878448,1415,0.0,0.0,Healthy,Healthy
alarm clock bakelike red,36543.77,0.17846896454947844,24.488600849427925,1363,0.0,0.0,Healthy,Healthy
round snack boxes set of 4 fruits,35922.51,0.17543491445240286,24.664035763880328,1154,,,Healthy,Weak
doormat red retrospot,35198.96,0.17190131024846397,24.835937074128793,900,,,Healthy,Weak
love building block word,34836.020000000004,0.17012881863105322,25.006065892759846,1696,0.0,0.0,Healthy,Healthy
recycling bag retrospot,34640.84,0.1691756172371968,25.175241509997043,1570,0.0,0.0,Healthy,Healthy
popcorn holder,34288.67,0.167455723114467,25.34269723311151,803,,,Healthy,Weak
doormat fairy cake,34191.53,0.16698132008444747,25.509678553195958,597,,,Healthy,Weak
recipe box pantry yellow design,33682.62,0.16449595415890464,25.674174507354863,1657,0.0,0.0,Healthy,Healthy
doormat fancy font home sweet home,33466.26,0.16343931590921326,25.837613823264075,713,,,Healthy,Weak
dolly girl lunch box,33380.83,0.1630221010558617,26.000635924319937,1333,0.0,0.0,Healthy,Healthy
doormat new england,33203.79,0.16215749005694619,26.162793414376882,818,,,Healthy,Weak
lunch bag spaceboy design,33049.37,0.16140334844797344,26.324196762824855,2108,,,Healthy,Weak
assorted colours silk fan,32967.03,0.16100122424072813,26.485197987065582,991,0.0,0.0,Healthy,Healthy
alarm clock bakelike green,32609.32,0.1592542743965004,26.64445226146208,1273,0.0,0.0,Healthy,Healthy
jumbo bag spaceboy design,32433.5,0.1583956215167595,26.802847882978842,1248,0.0,0.0,Healthy,Healthy
wood s/3 cabinet ant white finish,31594.39,0.15429765645067262,26.957145539429515,1072,0.0,0.0,Healthy,Healthy
retrospot tea set ceramic 11 pc,31527.12,0.1539691296663468,27.111114669095862,1321,,,Healthy,Weak
6 ribbons rustic charm,31513.11,0.15390070896992336,27.265015378065787,1751,0.0,0.0,Healthy,Healthy
hand over the chocolate   sign,31483.7,0.15375707922818077,27.41877245729397,1460,0.0,0.0,Healthy,Healthy
hand warmer owl design,31416.04,0.15342664779920073,27.57219910509317,1212,0.0,0.0,Healthy,Healthy
set of 3 regency cake tins,31118.550000000003,0.15197379462439628,27.724172899717566,873,0.0,0.0,Healthy,Healthy
white skull hot water bottle,31079.8,0.15178455108503805,27.875957450802602,930,0.0,0.0,Healthy,Healthy
jumbo bag apples,30450.690000000002,0.14871216390966666,28.02466961471227,978,0.0,0.0,Healthy,Healthy
picnic basket wicker large,30339.36,0.14816846111646023,28.17283807582873,762,32.0,0.0,Healthy,At Risk
lunch bag red spotty,30063.27,0.14682011921242388,28.319658195041153,1219,0.0,0.0,Healthy,Healthy
edwardian parasol red,30020.97,0.14661353852300835,28.466271733564163,715,0.0,0.0,Healthy,Healthy
green regency teacup and saucer,29952.550000000003,0.14627939547880478,28.612551129042966,1340,0.0,0.0,Healthy,Healthy
antique silver tea glass etched,29828.78,0.14567493940483403,28.7582260684478,1080,0.0,0.0,Healthy,Healthy
lunch box i love london,29561.86,0.1443713810686923,28.90259744951649,1074,,,Healthy,Weak
knitted union flag hot water bottle,29533.87,0.14423468618697266,29.046832135703465,1009,0.0,0.0,Healthy,Healthy
pink happy birthday bunting,29504.36,0.14409056807480594,29.19092270377827,882,0.0,0.0,Healthy,Healthy
pink happy birthday bunting,29504.36,0.14409056807480594,29.19092270377827,882,26.0,0.0,Healthy,Healthy
set/5 red spotty lid glass bowls,29468.52,0.1439155361147905,29.33483823989306,883,0.0,0.0,Healthy,Healthy
box of vintage alphabet blocks,29450.11,0.14382562711970442,29.478663867012763,571,0.0,0.0,Healthy,Healthy
3 hearts hanging decoration rustic,29198.280000000002,0.14259576388056697,29.62125963089333,718,0.0,0.0,Healthy,Healthy
wood 2 drawer cabinet white finish,29003.370000000003,0.1416438810868558,29.762903511980188,1123,1.0,0.0,Healthy,Healthy
jumbo bag scandinavian paisley,28962.829999999998,0.14144589571690527,29.904349407697094,880,0.0,0.0,Healthy,Healthy
hot water bottle keep calm,28718.8,0.14025412537085152,30.044603533067946,782,0.0,0.0,Healthy,Healthy
pink blue felt craft trinket box,28580.97,0.1395810044152453,30.18418453748319,1148,0.0,0.0,Healthy,Healthy
hanging heart jar t-light holder,28475.96,0.13906816663284513,30.323252704116037,1425,0.0,0.0,Healthy,Healthy
hand warmer scotty dog design,28266.870000000003,0.13804703291298948,30.461299737029027,1083,0.0,0.0,Healthy,Healthy
set 7 babushka nesting boxes,28139.45,0.13742475131853726,30.598724488347564,692,0.0,0.0,Healthy,Healthy
black heart card holder,28112.030000000002,0.13729084014823528,30.7360153284958,566,0.0,0.0,Healthy,Healthy
pack of 60 pink paisley cake cases,28081.73,0.13714286390971775,30.873158192405516,1993,0.0,0.0,Healthy,Healthy
gumball coat rack,28059.480000000003,0.13703420149034434,31.01019239389586,1095,0.0,0.0,Healthy,Healthy
hot baths metal sign,27981.99,0.13665576324867032,31.14684815714453,1176,0.0,0.0,Healthy,Healthy
jumbo bag alphabet,27850.83,0.1360152166003549,31.282863373744885,906,0.0,0.0,Healthy,Healthy
pack of 72 retrospot cake cases,27770.72,0.13562398305356815,31.41848735679845,1708,,,Healthy,Weak
woodland charlotte bag,27598.42,0.13478252081275732,31.553269877611207,1573,0.0,0.0,Healthy,Healthy
tea time party bunting,27564.75,0.13461808649094598,31.687887964102153,874,4.0,0.0,Healthy,Healthy
tea time party bunting,27564.75,0.13461808649094598,31.687887964102153,874,30.0,0.0,Healthy,Healthy
jumbo storage bag skulls,27368.08,0.13365760837776977,31.821545572479923,1321,0.0,0.0,Healthy,Healthy
ivory kitchen scales,27282.73,0.13324078422075755,31.95478635670068,1219,0.0,0.0,Healthy,Healthy
grand chocolatecandle,27239.46,0.13302946633822774,32.08781582303891,920,0.0,0.0,Healthy,Healthy
hot water bottle i am so poorly,27082.84,0.13226458057992366,32.22008040361883,1011,0.0,0.0,Healthy,Healthy
mini paint set vintage,27056.19,0.13213442986188764,32.352214833480716,714,0.0,0.0,Healthy,Healthy
60 teatime fairy cake cases,27041.21,0.13206127197234993,32.48427610545306,2127,0.0,0.0,Healthy,Healthy
jam making set printed,26888.43,0.13131513963833324,32.615591245091395,1200,0.0,0.0,Healthy,Healthy
set of 6 ribbons vintage christmas,26763.75,0.13070623939350276,32.7462974844849,756,0.0,0.0,Healthy,Healthy
jumbo bag pink with white spots,26242.66,0.1281613899502984,32.8744588744352,802,0.0,0.0,Healthy,Healthy
feltcraft 6 flower friends,26218.97,0.12804569499681723,33.00250456943201,1382,28.0,0.0,Healthy,Healthy
hand warmer bird design,26117.63,0.1275507804089834,33.130055349840994,1054,0.0,0.0,Healthy,Healthy
plasters in tin spaceboy,25912.87,0.12655079312849343,33.25660614296949,1299,0.0,0.0,Healthy,Healthy
jumbo bag toys,25719.13,0.1256046242687448,33.382210767238234,1052,7.0,0.0,Healthy,Healthy
fawn blue hot water bottle,25613.45,0.12508851440450286,33.50729928164274,1050,0.0,0.0,Healthy,Healthy
memo board retrospot  design,25603.46,0.12503972619913026,33.632339007841864,900,0.0,0.0,Healthy,Healthy
paper bunting retrospot,25497.960000000003,0.12452449540165178,33.756863503243515,920,,,Healthy,Weak
tea time cake stand in gift box,25428.33,0.124184443075316,33.88104794631883,522,495.0,1.0,Churned,Churned
retrospot heart hot water bottle,25408.010000000002,0.12408520620512867,34.00513315252396,930,,,Healthy,Weak
fairy cake flannel assorted colour,25407.27,0.12408159226398996,34.12921474478795,613,0.0,0.0,Healthy,Healthy
paper bunting white lace,25389.100000000002,0.12399285535792187,34.25320760014587,847,0.0,0.0,Healthy,Healthy
colour glass t-light holder hanging,25205.13,0.12309440028861272,34.376302000434485,1259,0.0,0.0,Healthy,Healthy
paper chain kit empire,25163.56,0.12289138470329347,34.49919338513778,811,0.0,0.0,Healthy,Healthy
jumbo bag red white spotty,25043.62,0.12230563321656768,34.62149901835435,534,0.0,0.0,Healthy,Healthy
red retrospot charlotte bag,24958.77,0.12189125091167624,34.74339026926602,1255,,,Healthy,Weak
paper bunting retro spots,24933.940000000002,0.12176998853535975,34.865160257801385,783,1.0,0.0,Healthy,Healthy
regency teapot roses,24879.13,0.12150231270588302,34.98666257050727,416,0.0,0.0,Healthy,Healthy
pink cream felt craft trinket box,24785.31,0.1210441235739453,35.107706694081216,1397,0.0,0.0,Healthy,Healthy
door mat union flag,24770.81,0.12097330986244349,35.22868000394366,673,0.0,0.0,Healthy,Healthy
small glass heart trinket pot,24641.390000000003,0.1203412608595083,35.34902126480317,1066,0.0,0.0,Healthy,Healthy
jumbo bag vintage doily,24489.08,0.11959742386648511,35.46861868866966,711,,,Healthy,Weak
set of 6 spice tins pantry design,24459.960000000003,0.11945521039897257,35.58807389906863,835,0.0,0.0,Healthy,Healthy
world war 2 gliders asstd designs,24445.61,0.11938512924310701,35.70745902831174,1019,0.0,0.0,Healthy,Healthy
hanging jam jar t-light holder,24440.74,0.11936134560345091,35.82682037391519,925,0.0,0.0,Healthy,Healthy
zinc metal heart decoration,24289.33,0.11862190394424507,35.945442277859435,1408,0.0,0.0,Healthy,Healthy
alarm clock bakelike pink,24257.31,0.11846552773443216,36.063907805593864,969,0.0,0.0,Healthy,Healthy
blue happy birthday bunting,24185.030000000002,0.11811253359185639,36.18202033918572,690,2.0,0.0,Healthy,Healthy
blue happy birthday bunting,24185.030000000002,0.11811253359185639,36.18202033918572,690,520.0,1.0,Churned,Churned
sweetheart ceramic trinket box,24128.86,0.11783821592461122,36.29985855511033,1482,0.0,0.0,Healthy,Healthy
pack of 72 retro spot cake cases,24054.43,0.11747472181791621,36.41733327692825,1410,0.0,0.0,Healthy,Healthy
pink regency teacup and saucer,23990.620000000003,0.11716309265026596,36.53449636957851,1024,0.0,0.0,Healthy,Healthy
lunch bag suki  design,23893.29,0.11668776171644055,36.651184131294954,1279,,,Healthy,Weak
jumbo bag 50's christmas,23772.07,0.11609575908828565,36.76727989038324,716,0.0,0.0,Healthy,Healthy
3 hook photo shelf antique white,23709.46,0.11578999036572521,36.88306988074897,661,0.0,0.0,Healthy,Healthy
vintage snap cards,23506.17,0.11479718213047022,36.99786706287944,1888,0.0,0.0,Healthy,Healthy
set of tea coffee sugar tins pantry,23489.42,0.11471538008442507,37.11258244296387,470,0.0,0.0,Healthy,Healthy
wooden croquet garden set,23426.82,0.11440966019890704,37.22699210316278,642,0.0,0.0,Healthy,Healthy
no singing metal sign,23096.77,0.11279779361399926,37.33978989677678,1152,0.0,0.0,Healthy,Healthy
cream cupid hearts coat hanger,23093.95,0.11278402156803824,37.45257391834482,843,3.0,0.0,Healthy,Healthy
cream cupid hearts coat hanger,23093.95,0.11278402156803824,37.45257391834482,843,716.0,1.0,Churned,Churned
set/5 red retrospot lid glass bowls,23040.04,0.11252074107237886,37.5650946594172,1147,,,Healthy,Weak
red kitchen scales,22911.55,0.11189323391438823,37.676987893331585,950,0.0,0.0,Healthy,Healthy
wooden rounders garden set,22906.54,0.11186876655613831,37.78885665988772,744,0.0,0.0,Healthy,Healthy
vintage heads and tails card game,22858.600000000002,0.1116346417748007,37.90049130166252,1313,0.0,0.0,Healthy,Healthy
plasters in tin woodland animals,22853.72,0.11161080929810217,38.01210211096062,1275,0.0,0.0,Healthy,Healthy
hanging heart zinc t-light holder,22578.3,0.11026573947590765,38.122367850436525,1523,0.0,0.0,Healthy,Healthy
hanging heart zinc t-light holder,22578.3,0.11026573947590765,38.122367850436525,1523,0.0,0.0,Healthy,Healthy
plasters in tin circus parade,22334.08,0.10907304122604801,38.23144089166257,1196,0.0,0.0,Healthy,Healthy
ceramic cake stand + hanging cakes,22333.3,0.10906923193673963,38.34051012359931,477,1.0,0.0,Healthy,Healthy
assorted colour mini cases,22097.61,0.10791819168406,38.448428315283365,766,0.0,0.0,Healthy,Healthy
grey heart hot water bottle,22025.93,0.10756812776402912,38.55599644304739,996,0.0,0.0,Healthy,Healthy
pack of 6 birdy gift tags,21977.3,0.10733063322676487,38.66332707627416,1084,0.0,0.0,Healthy,Healthy
wooden union jack bunting,21826.52,0.10659426830123117,38.76992134457539,774,2.0,0.0,Healthy,Healthy
jumbo bag vintage leaf,21810.43,0.1065156894999854,38.87643703407537,879,0.0,0.0,Healthy,Healthy
christmas lights 10 reindeer,21727.58,0.10611107460357697,38.98254810867895,483,0.0,0.0,Healthy,Healthy
natural slate chalkboard large,21583.2,0.10540596538518889,39.087954074064136,835,0.0,0.0,Healthy,Healthy
homemade jam scented candles,21501.989999999998,0.10500935976373647,39.19296343382787,709,0.0,0.0,Healthy,Healthy
doormat spotty home sweet home,21414.04,0.10457983797569638,39.29754327180357,744,,,Healthy,Weak
pack of 72 skull cake cases,21390.76,0.1044661453409542,39.40200941714453,1481,0.0,0.0,Healthy,Healthy
victorian sewing box large,21386.559999999998,0.1044456337831399,39.50645505092767,526,0.0,0.0,Healthy,Healthy
doormat english rose,21326.3,0.10415134176554697,39.610606392693214,526,,,Healthy,Weak
retro spot tea set ceramic 11 pc,21301.04,0.10402797939640665,39.71463437208962,771,0.0,0.0,Healthy,Healthy
picnic basket wicker small,21260.8,0.1038314591377286,39.81846583122735,922,74.0,1.0,Churned,Churned
15cm christmas glass ball 20 lights,21201.13,0.10354004850563817,39.922005879732986,517,0.0,0.0,Healthy,Healthy
paper chain kit retro spot,21151.79,0.10329908653836245,40.02530496627135,591,0.0,0.0,Healthy,Healthy
feltcraft cushion rabbit,20901.1,0.10207479072206027,40.127379756993406,807,20.0,0.0,Healthy,Healthy
enamel bread bin cream,20886.89,0.10200539328478853,40.2293851502782,739,0.0,0.0,Healthy,Healthy
lunch bag apple design,20852.58,0.1018378333922626,40.33122298367046,1036,0.0,0.0,Healthy,Healthy
red spotty biscuit tin,20800.31,0.10158256217155928,40.432805545842015,897,0.0,0.0,Healthy,Healthy
heart filigree dove  small,20629.38,0.1007477906055593,40.533553336447575,861,0.0,0.0,Healthy,Healthy
baking set spaceboy design,20546.99,0.10034542221310196,40.63389875866068,942,0.0,0.0,Healthy,Healthy
grow a flytrap or sunflower in tin,20469.08,0.09996493281564653,40.73386369147632,350,0.0,0.0,Healthy,Healthy
amazon fee,20467.8,0.09995868167421738,40.83382237315054,3,256.0,1.0,Churned,Churned
strawberry charlotte bag,20401.05,0.09963269441609712,40.93345506756663,1379,0.0,0.0,Healthy,Healthy
feltcraft cushion owl,20244.97,0.09887044585808347,41.032325513424716,875,1.0,0.0,Healthy,Healthy
ladies & gentlemen metal sign,20237.72,0.09883503900233259,41.13116055242705,1110,0.0,0.0,Healthy,Healthy
doormat welcome puppies,20209.4,0.09869673249821326,41.22985728492526,428,,,Healthy,Weak
feltcraft doll molly,20150.99,0.0984114753334671,41.32826876025872,810,0.0,0.0,Healthy,Healthy
feltcraft cushion butterfly,20104.43,0.09818409006398275,41.426452850322704,784,45.0,0.0,Healthy,At Risk
vintage union jack cushion cover,19936.94,0.09736611844057357,41.52381896876328,626,1.0,0.0,Healthy,Healthy
set 2 tea towels i love london,19834.04,0.096863585274123,41.6206825540374,723,0.0,0.0,Healthy,Healthy
metal sign take it or leave it,19728.24,0.09634688936537208,41.71702944340277,881,0.0,0.0,Healthy,Healthy
pottering in the shed metal sign,19593.81,0.09569037300418695,41.81271981640696,1135,0.0,0.0,Healthy,Healthy
red retrospot picnic bag,19576.72,0.09560691049869968,41.90832672690566,935,,,Healthy,Weak
wooden school colouring set,19524.27,0.09535076021123289,42.003677487116896,904,0.0,0.0,Healthy,Healthy
clothes pegs retrospot pack 24,19513.17,0.09529655109415221,42.09897403821105,1202,0.0,0.0,Healthy,Healthy
family album white picture frame,19507.6,0.09526934886152705,42.194243387072575,701,0.0,0.0,Healthy,Healthy
lunch bag pink polkadot,19500.66,0.09523545595409103,42.289478843026664,1281,,,Healthy,Weak
antique silver t-light glass,19381.62,0.0946540998011826,42.38413294282785,689,,,Healthy,Weak
enamel flower jug cream,19273.280000000002,0.09412499928365828,42.478257942111505,798,10.0,0.0,Healthy,Healthy
paper chain kit retrospot,19261.030000000002,0.09406517390669988,42.572323116018204,810,,,Healthy,Weak
classic metal birdcage plant holder,19194.13,0.09373845409294339,42.66606157011115,419,1.0,0.0,Healthy,Healthy
chocolate this way metal sign,19125.980000000003,0.09340562964888502,42.75946719976003,974,0.0,0.0,Healthy,Healthy
large cake stand  hanging strawbery,19121.37,0.09338311577233167,42.852850315532365,520,0.0,0.0,Healthy,Healthy
silver hanging t-light holder,19015.8,0.0928675431155563,42.945717858647924,693,0.0,0.0,Healthy,Healthy
antique silver tea glass engraved,18744.170000000002,0.09154098253243709,43.03725884118036,680,0.0,0.0,Healthy,Healthy
lunch bag suki design,18699.43,0.09132248560467227,43.12858132678503,1084,,,Healthy,Weak
"record frame 7"" single size",18650.87,0.09108533292670491,43.219666659711734,555,0.0,0.0,Healthy,Healthy
white metal lantern,18525.22,0.09047169548876019,43.31013835520049,701,0.0,0.0,Healthy,Healthy
plasters in tin strongman,18323.32,0.0894856756024009,43.3996240308029,956,0.0,0.0,Healthy,Healthy
chick grey hot water bottle,18171.14,0.0887424734909291,43.48836650429383,864,0.0,0.0,Healthy,Healthy
white cherry lights,18048.72,0.08814461041768441,43.576511114711515,349,449.0,1.0,Churned,Churned
set/3 red gingham rose storage box,18044.97,0.08812629652677878,43.664637411238296,814,0.0,0.0,Healthy,Healthy
memo board cottage design,18034.63,0.08807579902492166,43.75271321026322,744,0.0,0.0,Healthy,Healthy
feltcraft butterfly hearts,17893.579999999998,0.08738695254165776,43.84010016280487,1132,8.0,0.0,Healthy,Healthy
traditional modelling clay,17861.71,0.0872313088874811,43.927331471692355,742,0.0,0.0,Healthy,Healthy
multi colour silver t-light holder,17746.71,0.08666968289970835,44.014001154592066,653,0.0,0.0,Healthy,Healthy
blue harmonica in box,17725.36,0.08656541581415228,44.100566570406215,963,0.0,0.0,Healthy,Healthy
heart ivory trellis small,17702.62,0.08645436037970052,44.18702093078591,969,1.0,0.0,Healthy,Healthy
bread bin diner style ivory,17669.989999999998,0.0862950051103003,44.273315935896214,472,,,Healthy,Weak
single heart zinc t-light holder,17664.18,0.08626663078865718,44.35958256668487,1145,0.0,0.0,Healthy,Healthy
single heart zinc t-light holder,17664.18,0.08626663078865718,44.35958256668487,1145,2.0,0.0,Healthy,Healthy
hand warmer union jack,17576.670000000002,0.08583925783048334,44.44542182451536,858,0.0,0.0,Healthy,Healthy
english rose design quilted throw,17477.66,0.0853557222735322,44.53077754678889,83,500.0,1.0,Churned,Churned
painted metal pears assorted,17451.45,0.08522772038536243,44.61600526717425,739,0.0,0.0,Healthy,Healthy
plasters in tin vintage paisley,17401.3,0.0849828026176511,44.700988069791904,1126,0.0,0.0,Healthy,Healthy
jumbo bag doiley patterns,17268.69,0.0843351745981855,44.78532324439009,514,0.0,0.0,Healthy,Healthy
72 sweetheart fairy cake cases,17259.85,0.08429200265269061,44.86961524704278,1460,0.0,0.0,Healthy,Healthy
jumbo bag scandinavian blue paisley,17239.69,0.08419354717518193,44.95380879421796,662,,,Healthy,Weak
wooden box of dominoes,17095.66,0.08349014725327839,45.03729894147124,1123,0.0,0.0,Healthy,Healthy
red retrospot traditional teapot,17030.56,0.08317221810715661,45.1204711595784,570,,,Healthy,Weak
deluxe sewing kit,16971.27,0.08288266328267795,45.203353822861075,597,0.0,0.0,Healthy,Healthy
doormat black flock,16937.68,0.08271861965720588,45.28607244251828,345,,,Healthy,Weak
strawberry lunch box with cutlery,16891.44,0.08249279717307881,45.368565239691364,1038,,,Healthy,Weak
childrens cutlery polkadot pink,16865.97,0.08236840922604777,45.45093364891741,423,,,Healthy,Weak
travel sewing kit,16794.05,0.08201717321699892,45.53295082213441,830,23.0,0.0,Healthy,Healthy
