StockCode,Description,total_revenue,total_quantity_sold,total_transactions,Revenue_per_Transaction,first_sale_date,last_sale_date,product_lifetime_days,Lifetime_Tier,days_since_last_sale,Activity_Status,is_churned,Churn_Status,segment,Revenue_Tier
85099B,jumbo bag red white spotty,25043.62,14061,535,46.810504672897196,2009-12-01 10:06:00,2010-06-08 13:23:00,189,Medium,184,Inactive,1,Churned,Churned,High
,paper bunting retro spots,24933.940000000002,8292,783,31.844112388250323,2009-12-01 10:36:00,2010-11-23 12:04:00,357,Medium,16,Active,0,Active,Healthy,High
,door mat union flag,24770.81,3776,674,36.75194362017805,2009-12-15 11:56:00,2010-07-13 16:36:00,210,Medium,149,Inactive,1,Churned,Churned,High
,pack of 72 retro spot cake cases,24054.43,46728,1410,17.059879432624115,2009-12-01 10:49:00,2010-11-24 16:16:00,358,Medium,15,Active,0,Active,Healthy,High
,lunch bag  black skull.,23936.93,14847,1115,21.46809865470852,2009-12-01 12:13:00,2010-12-09 18:58:00,373,Medium,0,Active,0,Active,Healthy,High
,love building block word,22920.530000000002,3715,1091,21.008735105407887,2009-12-01 09:06:00,2010-12-09 16:27:00,373,Medium,0,Active,0,Active,Healthy,High
,please one person metal sign,21725.370000000003,10887,834,26.049604316546766,2010-01-29 17:25:00,2010-12-09 18:58:00,314,Medium,0,Active,0,Active,Healthy,High
,baking set 9 piece retrospot,21696.74,4429,980,22.1395306122449,2009-12-01 09:28:00,2010-11-29 14:08:00,363,Medium,10,Active,0,Active,Healthy,High
,retro spot tea set ceramic 11 pc,21301.04,4438,771,27.62780804150454,2009-12-01 09:28:00,2010-11-04 12:17:00,338,Medium,35,At Risk,0,Active,At Risk,High
,paper chain kit retro spot,21151.79,7579,591,35.78983079526227,2009-12-01 10:06:00,2010-11-02 17:12:00,336,Medium,37,At Risk,0,Active,At Risk,High
,round snack boxes set of 4 fruits,21065.190000000002,7684,597,35.28507537688443,2010-01-10 12:13:00,2010-12-09 14:09:00,333,Medium,0,Active,0,Active,Healthy,High
,lunch bag cars blue,20996.16,13052,944,22.241694915254236,2009-12-01 10:06:00,2010-12-09 18:58:00,373,Medium,0,Active,0,Active,Healthy,High
,black heart card holder,20713.83,7613,395,52.44007594936709,2009-12-14 17:57:00,2010-12-09 16:27:00,359,Medium,0,Active,0,Active,Healthy,High
,lunch bag suki  design,20688.89,12475,1114,18.571714542190303,2010-02-01 17:13:00,2010-12-09 18:58:00,311,Medium,0,Active,0,Active,Healthy,High
,wood s/3 cabinet ant white finish,20660.88,2717,707,29.223309759547384,2009-12-01 10:49:00,2010-12-09 16:52:00,373,Medium,0,Active,0,Active,Healthy,High
,edwardian parasol red,20628.05,4546,409,50.43533007334963,2009-12-01 17:31:00,2010-12-09 14:49:00,372,Medium,0,Active,0,Active,Healthy,High
,lunch bag woodland,20599.95,12394,943,21.845121951219515,2009-12-01 10:06:00,2010-12-09 14:49:00,373,Medium,0,Active,0,Active,Healthy,High
,natural slate heart chalkboard,20431.640000000003,6568,843,24.236820877817323,2010-03-04 10:29:00,2010-12-09 16:27:00,280,Medium,0,Active,0,Active,Healthy,High
,round snack boxes set of4 woodland,20383.86,7056,683,29.844597364568084,2010-01-10 12:25:00,2010-12-09 12:05:00,332,Medium,0,Active,0,Active,Healthy,High
AMAZONFEE,amazon fee,20248.04,2,2,10124.02,2010-11-08 10:11:00,2010-12-07 15:08:00,29,Short,2,Active,0,Active,At Risk,High
,victorian glass hanging t-light,19958.77,16297,802,24.886246882793017,2009-12-01 10:06:00,2010-12-09 14:44:00,373,Medium,0,Active,0,Active,Healthy,High
,recycling bag retrospot,19755.170000000002,9157,847,23.323695395513578,2010-01-25 13:46:00,2010-12-09 14:09:00,318,Medium,0,Active,0,Active,Healthy,High
,grand chocolatecandle,19624.88,14155,653,30.05341500765697,2009-12-01 11:41:00,2010-12-09 15:23:00,373,Medium,0,Active,0,Active,Healthy,High
,wooden picture frame white finish,19338.97,8155,947,20.42129883843717,2009-12-01 12:47:00,2010-12-09 13:57:00,373,Medium,0,Active,0,Active,Healthy,High
,heart of wicker small,18993.559999999998,11091,1029,18.458270165208937,2010-04-22 12:12:00,2010-12-09 19:28:00,231,Medium,0,Active,0,Active,Healthy,High
,3 hearts hanging decoration rustic,18399.9,5928,450,40.88866666666667,2009-12-03 17:46:00,2010-12-09 19:23:00,371,Medium,0,Active,0,Active,Healthy,High
,red  harmonica in box,18385.97,16185,396,46.42921717171718,2009-12-04 15:16:00,2010-12-09 18:09:00,370,Medium,0,Active,0,Active,Healthy,High
,jumbo bag owls,18331.829999999998,9741,683,26.840161054172764,2009-12-01 12:13:00,2010-12-09 17:27:00,373,Medium,0,Active,0,Active,Healthy,High
,box of vintage alphabet blocks,18212.73,1898,332,54.85762048192771,2010-05-07 10:44:00,2010-12-09 16:31:00,216,Medium,0,Active,0,Active,Healthy,High
,60 teatime fairy cake cases,18151.399999999998,36348,1336,13.58637724550898,2009-12-01 10:46:00,2010-12-09 20:01:00,373,Medium,0,Active,0,Active,Healthy,High
,vintage union jack cushion cover,18097.85,3348,527,34.34127134724857,2009-12-01 12:47:00,2010-12-09 13:47:00,373,Medium,0,Active,0,Active,Healthy,High
79323W,white cherry lights,18048.72,3004,349,51.71553008595989,2009-12-01 07:45:00,2010-09-16 09:07:00,289,Medium,84,Inactive,1,Churned,Churned,High
,ceramic cake stand + hanging cakes,17555.32,1852,336,52.24797619047619,2009-12-01 11:21:00,2010-12-09 11:30:00,373,Medium,0,Active,0,Active,Healthy,High
,cook with wine metal sign,17553.77,9739,732,23.98056010928962,2009-12-01 11:45:00,2010-12-09 16:52:00,373,Medium,0,Active,0,Active,Healthy,High
47590B,pink happy birthday bunting,17493.83,3446,487,35.92162217659138,2009-12-07 11:35:00,2010-12-09 16:28:00,367,Medium,0,Active,0,Active,Healthy,High
,english rose design quilted throw,17477.66,816,83,210.5742168674699,2009-12-06 12:10:00,2010-07-27 08:57:00,232,Medium,135,Inactive,1,Churned,Churned,High
,doormat union flag,17324.79,2632,400,43.311975000000004,2010-06-28 13:52:00,2010-12-09 14:19:00,164,Medium,0,Active,0,Active,Healthy,High
,gin + tonic diet metal sign,17252.260000000002,8649,880,19.60484090909091,2009-12-01 11:45:00,2010-12-09 16:52:00,373,Medium,0,Active,0,Active,Healthy,High
,zinc metal heart decoration,17145.1,14120,902,19.007871396895787,2009-12-01 11:41:00,2010-12-09 13:08:00,373,Medium,0,Active,0,Active,Healthy,High
,doormat hearts,17129.61,2720,461,37.157505422993495,2009-12-01 11:45:00,2010-12-09 15:50:00,373,Medium,0,Active,0,Active,Healthy,High
,sweetheart ceramic trinket box,16882.1,13618,1001,16.865234765234764,2009-12-01 10:59:00,2010-12-09 14:09:00,373,Medium,0,Active,0,Active,Healthy,High
,cream sweetheart mini chest,16579.45,1348,426,38.91889671361503,2009-12-01 10:06:00,2010-12-09 16:27:00,373,Medium,0,Active,0,Active,Healthy,High
,set of 6 ribbons vintage christmas,16429.78,6559,340,48.32288235294117,2010-09-16 11:40:00,2010-12-09 16:57:00,84,Short,0,Active,0,Active,Healthy,High
,victorian sewing box large,16415.04,1156,398,41.24381909547739,2009-12-01 11:21:00,2010-12-09 17:27:00,373,Medium,0,Active,0,Active,Healthy,High
,retro spot cake stand,16354.009999999998,1493,340,48.1000294117647,2009-12-01 14:28:00,2010-09-20 12:01:00,292,Medium,80,Inactive,1,Churned,Churned,High
,set 7 babushka nesting boxes,16308.78,1986,361,45.17667590027701,2010-08-06 15:02:00,2010-12-09 16:53:00,125,Medium,0,Active,0,Active,Healthy,High
,hanging jam jar t-light holder,16231.62,19852,583,27.84154373927959,2009-12-02 10:00:00,2010-12-09 14:09:00,372,Medium,0,Active,0,Active,Healthy,High
,pack of 60 pink paisley cake cases,16187.31,31805,1155,14.014987012987012,2009-12-01 10:46:00,2010-12-09 16:10:00,373,Medium,0,Active,0,Active,Healthy,High
84406B,cream cupid hearts coat hanger,16177.3,5370,592,27.32652027027027,2009-12-01 16:34:00,2010-12-09 16:53:00,373,Medium,0,Active,0,Active,Healthy,High
,hand over the chocolate   sign,16047.83,8357,814,19.71477886977887,2009-12-01 11:37:00,2010-12-09 20:01:00,373,Medium,0,Active,0,Active,Healthy,High
,hand warmer scotty dog design,15957.12,7112,613,26.031190864600326,2010-09-10 13:59:00,2010-12-09 14:09:00,90,Short,0,Active,0,Active,Healthy,High
,pink cream felt craft trinket box,15952.529999999999,13367,815,19.57365644171779,2009-12-01 10:59:00,2010-12-09 16:53:00,373,Medium,0,Active,0,Active,Healthy,High
,jumbo bag woodland animals,15896.52,8163,570,27.88863157894737,2009-12-01 12:13:00,2010-12-09 11:28:00,372,Medium,0,Active,0,Active,Healthy,High
,door mat red spot,15889.75,2487,413,38.473970944309926,2010-02-03 07:31:00,2010-10-05 11:53:00,244,Medium,65,Inactive,1,Churned,Churned,High
84029G,knitted union flag hot water bottle,15779.09,3988,620,25.450145161290322,2009-12-01 11:45:00,2010-12-09 19:32:00,373,Medium,0,Active,0,Active,Healthy,High
84997D,pink 3 piece mini dots cutlery set,15767.15,4354,448,35.19453125,2009-12-01 10:59:00,2010-11-10 12:21:00,344,Medium,29,Active,0,Active,Healthy,High
84997B,red 3 piece mini dots cutlery set,15738.53,4254,500,31.47706,2009-12-01 11:34:00,2010-11-23 12:04:00,357,Medium,16,Active,0,Active,Healthy,High
,jumbo bag spaceboy design,15663.61,8554,578,27.09967128027682,2010-01-29 13:46:00,2010-12-09 16:31:00,314,Medium,0,Active,0,Active,Healthy,High
,hand warmer owl design,15608.78,7032,634,24.619526813880128,2010-09-10 13:59:00,2010-12-08 14:25:00,89,Short,1,Active,0,Active,Healthy,High
35004C,set of 3 coloured  flying ducks,15482.85,2913,351,44.11068376068376,2009-12-01 14:47:00,2010-12-09 17:27:00,373,Medium,0,Active,0,Active,Healthy,High
,fawn blue hot water bottle,15481.31,5230,616,25.131996753246753,2009-12-01 10:52:00,2010-12-09 19:32:00,373,Medium,0,Active,0,Active,Healthy,High
85014B,red/white dots ruffled umbrella,15476.880000000001,3462,421,36.76218527315915,2009-12-01 09:28:00,2010-11-04 12:17:00,338,Medium,35,At Risk,0,Active,At Risk,High
,small glass heart trinket pot,15454.87,7401,545,28.357559633027524,2009-12-01 13:29:00,2010-12-09 14:09:00,373,Medium,0,Active,0,Active,Healthy,High
,hand warmer bird design,15422.43,6993,602,25.618654485049834,2010-09-10 13:59:00,2010-12-09 14:09:00,90,Short,0,Active,0,Active,Healthy,High
,pack of 6 birdy gift tags,15299.779999999999,12068,726,21.074077134986226,2010-03-10 12:51:00,2010-12-09 15:29:00,274,Medium,0,Active,0,Active,Healthy,High
,lunch bag spaceboy design,15263.68,9316,981,15.559306829765546,2010-02-01 17:13:00,2010-12-09 14:49:00,310,Medium,0,Active,0,Active,Healthy,High
,jumbo bag toys,15168.38,7835,541,28.037670979667283,2009-12-01 09:24:00,2010-12-08 15:03:00,372,Medium,1,Active,0,Active,Healthy,High
,pink blue felt craft trinket box,15138.11,11587,656,23.076387195121953,2009-12-01 09:08:00,2010-12-09 20:01:00,373,Medium,0,Active,0,Active,Healthy,High
,large cake stand  hanging strawbery,15042.61,1603,379,39.690263852242744,2009-12-02 13:57:00,2010-12-08 13:11:00,370,Medium,1,Active,0,Active,Healthy,High
,6 ribbons rustic charm,14955.42,8354,836,17.88925837320574,2009-12-01 11:45:00,2010-12-09 16:53:00,373,Medium,0,Active,0,Active,Healthy,High
,colour glass t-light holder hanging,14899.6,24302,650,22.92246153846154,2009-12-01 13:47:00,2010-12-09 12:16:00,372,Medium,0,Active,0,Active,Healthy,High
,wood 2 drawer cabinet white finish,14890.52,2686,618,24.094692556634303,2009-12-01 10:49:00,2010-12-09 18:58:00,373,Medium,0,Active,0,Active,Healthy,High
47566B,tea time party bunting,14831.64,3470,419,35.39770883054892,2009-12-01 11:17:00,2010-12-09 16:31:00,373,Medium,0,Active,0,Active,Healthy,High
84970S,hanging heart zinc t-light holder,14724.439999999999,18026,945,15.581417989417988,2009-12-01 09:08:00,2010-12-09 16:31:00,373,Medium,0,Active,0,Active,Healthy,High
,red spotty round cake tins,14646.039999999999,1484,463,31.63291576673866,2009-12-01 10:06:00,2010-11-10 14:34:00,344,Medium,29,Active,0,Active,Healthy,High
,assorted colours silk fan,14471.710000000001,20659,485,29.838577319587632,2009-12-01 16:05:00,2010-12-09 14:09:00,372,Medium,0,Active,0,Active,Healthy,High
84997C,blue 3 piece mini dots cutlery set,14464.380000000001,3973,478,30.260209205020924,2009-12-01 10:59:00,2010-11-10 12:21:00,344,Medium,29,Active,0,Active,Healthy,High
,feltcraft 6 flower friends,14426.78,6818,871,16.563467278989666,2009-12-01 14:28:00,2010-12-09 16:53:00,373,Medium,0,Active,0,Active,Healthy,High
,lunch bag pink retrospot,14391.72,8916,812,17.723793103448276,2010-02-02 11:58:00,2010-10-29 15:04:00,269,Medium,41,At Risk,0,Active,At Risk,High
,heart filigree dove  small,14156.94,11466,585,24.199897435897437,2009-12-01 10:06:00,2010-12-09 14:08:00,373,Medium,0,Active,0,Active,Healthy,High
47590A,blue happy birthday bunting,14062.15,2837,308,45.656331168831166,2009-12-02 13:06:00,2010-12-09 16:28:00,372,Medium,0,Active,0,Active,Healthy,High
,white skull hot water bottle,13978.48,2942,507,27.570966469428008,2009-12-01 11:17:00,2010-12-09 20:01:00,373,Medium,0,Active,0,Active,Healthy,High
,wooden box advent calendar,13909.6,1425,414,33.598067632850245,2009-12-01 09:08:00,2010-11-24 09:55:00,358,Medium,15,Active,0,Active,Healthy,High
,jumbo storage bag skulls,13882.66,7202,642,21.624080996884736,2009-12-01 10:59:00,2010-12-09 13:47:00,373,Medium,0,Active,0,Active,Healthy,High
,red retrospot traditional teapot,13830.12,1929,445,31.07892134831461,2010-04-01 12:56:00,2010-12-09 19:28:00,252,Medium,0,Active,0,Active,Healthy,High
79323P,pink cherry lights,13760.93,2277,264,52.12473484848485,2009-12-01 07:45:00,2010-09-16 09:07:00,289,Medium,84,Inactive,1,Churned,Churned,High
,paper bunting white lace,13634.54,4431,531,25.677099811676083,2009-12-01 10:36:00,2010-12-09 10:04:00,372,Medium,0,Active,0,Active,Healthy,High
,kensington coffee set,13566.81,1547,153,88.67196078431373,2009-12-01 11:51:00,2010-12-09 18:58:00,373,Medium,0,Active,0,Active,Healthy,High
,charlotte bag suki design,13534.25,10112,550,24.607727272727274,2010-05-16 12:51:00,2010-12-09 15:21:00,207,Medium,0,Active,0,Active,Healthy,High
,vintage heads and tails card game,13422.58,10672,746,17.992734584450403,2009-12-01 11:21:00,2010-12-09 14:49:00,373,Medium,0,Active,0,Active,Healthy,High
,no singing metal sign,13335.58,6874,681,19.582349486049928,2009-12-01 11:41:00,2010-12-09 16:52:00,373,Medium,0,Active,0,Active,Healthy,High
,pack of 72 skull cake cases,13247.16,25394,839,15.7892252681764,2009-12-01 13:43:00,2010-12-09 14:09:00,373,Medium,0,Active,0,Active,Healthy,High
,door mat new england,13201.61,2023,464,28.451745689655173,2009-12-01 11:41:00,2010-07-13 13:11:00,224,Medium,149,Inactive,1,Churned,Churned,High
,grow your own plant in a can,13123.28,9580,414,31.69874396135266,2010-03-23 11:41:00,2010-12-09 14:09:00,261,Medium,0,Active,0,Active,Healthy,High
,doormat fancy font home sweet home,12983.39,1962,238,54.55205882352941,2010-06-28 13:53:00,2010-12-09 12:17:00,163,Medium,0,Active,0,Active,Healthy,High
,spaceboy lunch box,12972.679999999998,6944,504,25.73944444444444,2010-07-01 11:59:00,2010-12-09 17:27:00,161,Medium,0,Active,0,Active,Healthy,High
,plasters in tin spaceboy,12818.64,7666,667,19.218350824587706,2010-03-25 12:41:00,2010-12-09 20:01:00,259,Medium,0,Active,0,Active,Healthy,High
,plasters in tin circus parade,12589.369999999999,7658,652,19.30884969325153,2010-03-25 12:12:00,2010-12-09 20:01:00,259,Medium,0,Active,0,Active,Healthy,High
,hot water bottle babushka,12503.44,2707,327,38.236819571865446,2010-10-06 16:17:00,2010-12-09 20:01:00,64,Short,0,Active,0,Active,Healthy,High
85014A,black/blue dots ruffled umbrella,12491.17,2977,311,40.16453376205788,2009-12-01 09:28:00,2010-11-04 12:17:00,338,Medium,35,At Risk,0,Active,At Risk,High
,heart ivory trellis small,12466.69,9707,616,20.238133116883116,2009-12-01 13:29:00,2010-12-09 16:31:00,373,Medium,0,Active,0,Active,Healthy,High
,wooden croquet garden set,12454.81,1064,353,35.282747875354104,2010-04-08 19:40:00,2010-12-09 09:23:00,244,Medium,0,Active,0,Active,Healthy,High
,memo board retrospot  design,12433.21,2734,456,27.26581140350877,2010-03-11 17:05:00,2010-12-09 14:09:00,272,Medium,0,Active,0,Active,Healthy,High
72760B,vintage cream 3 basket cake stand,12424.16,1305,348,35.7016091954023,2009-12-01 10:52:00,2010-12-09 14:56:00,373,Medium,0,Active,0,Active,Healthy,High
,natural slate chalkboard large,12324.56,2730,373,33.04171581769437,2010-03-04 10:29:00,2010-12-09 16:26:00,280,Medium,0,Active,0,Active,Healthy,High
,dolly girl lunch box,12313.66,6618,515,23.910019417475727,2010-07-01 16:48:00,2010-12-09 16:31:00,160,Medium,0,Active,0,Active,Healthy,High
,antique lily fairy lights,12234.56,2694,293,41.756177474402726,2009-12-01 10:52:00,2010-11-16 12:50:00,350,Medium,23,Active,0,Active,Healthy,High
,set/20 red spotty paper napkins,12185.39,15688,942,12.935658174097664,2009-12-01 12:20:00,2010-11-02 17:12:00,336,Medium,37,At Risk,0,Active,At Risk,High
,hanging heart jar t-light holder,12176.039999999999,9326,707,17.2221216407355,2009-12-04 15:40:00,2010-12-09 19:23:00,370,Medium,0,Active,0,Active,Healthy,High
,silver hanging t-light holder,11856.72,7443,422,28.096492890995258,2009-12-01 11:37:00,2010-12-09 19:23:00,373,Medium,0,Active,0,Active,Healthy,High
15044A,pink paper parasol,11771.83,4506,148,79.5393918918919,2009-12-07 11:46:00,2010-11-29 09:44:00,356,Medium,10,Active,0,Active,Healthy,High
,red/white dot mini cases,11748.16,1622,401,29.29715710723192,2009-12-01 12:47:00,2010-10-22 09:44:00,324,Medium,48,At Risk,0,Active,At Risk,High
,chocolate this way metal sign,11727.29,6068,527,22.25292220113852,2009-12-01 11:37:00,2010-12-09 20:01:00,373,Medium,0,Active,0,Active,Healthy,High
,red spot heart hot water bottle,11670.66,2425,455,25.6498021978022,2009-12-01 10:06:00,2010-11-26 12:44:00,360,Medium,13,Active,0,Active,Healthy,High
,home sweet home metal sign,11656.32,4274,452,25.788318584070797,2009-12-01 14:28:00,2010-12-09 16:52:00,373,Medium,0,Active,0,Active,Healthy,High
,ivory kitchen scales,11631.460000000001,1358,541,21.499926062846583,2010-05-04 10:02:00,2010-12-09 15:50:00,219,Medium,0,Active,0,Active,Healthy,High
,vintage snap cards,11553.289999999999,13383,1001,11.54174825174825,2009-12-01 09:46:00,2010-12-09 19:32:00,373,Medium,0,Active,0,Active,Healthy,High
,door mat fairy cake,11532.31,1729,387,29.79925064599483,2009-12-01 10:52:00,2010-07-05 13:37:00,216,Medium,157,Inactive,1,Churned,Churned,High
,woodland charlotte bag,11505.47,11612,764,15.059515706806282,2009-12-01 11:21:00,2010-12-09 18:58:00,373,Medium,0,Active,0,Active,Healthy,High
,picnic basket wicker large,11466.33,1062,341,33.62560117302053,2010-05-21 16:37:00,2010-12-09 16:27:00,201,Medium,0,Active,0,Active,Healthy,High
,world war 2 gliders asstd designs,11383.97,55058,503,22.63214711729622,2009-12-01 12:57:00,2010-12-09 14:27:00,373,Medium,0,Active,0,Active,Healthy,High
,hot baths metal sign,11378.35,5750,593,19.18777403035413,2009-12-01 14:28:00,2010-12-09 16:52:00,373,Medium,0,Active,0,Active,Healthy,High
,mini paint set vintage,11300.17,17700,349,32.3787106017192,2010-05-06 11:50:00,2010-12-09 11:35:00,216,Medium,0,Active,0,Active,Healthy,High
,ladies & gentlemen metal sign,11266.95,4475,661,17.045310136157337,2009-12-01 09:50:00,2010-12-09 16:52:00,373,Medium,0,Active,0,Active,Healthy,High
,white metal lantern,11235.54,3032,428,26.251261682242994,2009-12-01 14:43:00,2010-12-09 12:32:00,372,Medium,0,Active,0,Active,Healthy,High
,memo board cottage design,11233.66,2361,451,24.908337028824832,2010-03-10 14:50:00,2010-12-09 14:44:00,273,Medium,0,Active,0,Active,Healthy,High
84970L,single heart zinc t-light holder,11045.95,11543,664,16.63546686746988,2009-12-01 13:47:00,2010-12-09 16:31:00,373,Medium,0,Active,0,Active,Healthy,High
